City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Manali,IN,2022-01-21 21:11:22,13.1667,80.2667,77.09,90,8,5.55
207,Aitape,PG,2022-01-21 21:11:23,-3.1374,142.3475,77.23,93,100,5.32
208,Diapaga,BF,2022-01-21 21:11:23,12.0708,1.7889,71.17,12,0,8.7
209,Hargeysa,SO,2022-01-21 21:11:23,9.56,44.065,58.78,92,39,10.63
210,Samarai,PG,2022-01-21 21:11:24,-10.6167,150.6667,80.15,79,100,6.4
211,Novoagansk,RU,2022-01-21 21:11:24,61.9449,76.6625,14.34,95,100,10.47
212,Dunedin,NZ,2022-01-21 21:07:18,-45.8742,170.5036,58.8,69,4,10.0
213,Bengkulu,ID,2022-01-21 21:11:24,-3.8004,102.2655,74.5,90,100,4.81
214,Cetraro,IT,2022-01-21 21:11:25,39.5166,15.9416,45.25,90,100,14.92
215,Kodiak,US,2022-01-21 21:11:25,57.79,-152.4072,44.11,76,100,28.77
216,San Cristobal,VE,2022-01-21 21:07:42,7.7669,-72.225,78.98,35,71,2.75
217,Bloomfield,US,2022-01-21 21:11:25,40.8068,-74.1854,25.07,39,0,4.0
218,Anloga,GH,2022-01-21 21:02:10,5.7947,0.8973,81.46,70,32,11.25
219,Dingle,PH,2022-01-21 21:03:25,10.9995,122.6711,72.88,93,81,6.93
220,Okhotsk,RU,2022-01-21 21:05:49,59.3833,143.3,-15.39,76,0,11.3
221,Touros,BR,2022-01-21 21:11:26,-5.1989,-35.4608,81.5,68,7,11.77
222,Yar-Sale,RU,2022-01-21 21:11:26,66.8333,70.8333,4.44,96,84,12.35
223,Quang Ngai,VN,2022-01-21 21:10:54,15.1167,108.8,67.51,89,7,5.17
224,Syracuse,IT,2022-01-21 21:08:00,37.0881,15.2792,49.89,69,28,15.68
225,Jinchang,CN,2022-01-21 21:12:27,38.4953,102.1739,20.98,56,74,0.81
226,Ganzhou,CN,2022-01-21 21:12:27,28.8184,115.4327,48.06,96,100,3.06
227,Kavaratti,IN,2022-01-21 21:12:27,10.5669,72.642,79.7,71,89,12.82
228,Rio Gallegos,AR,2022-01-21 21:11:27,-51.6226,-69.2181,67.69,49,39,11.01
229,Tilichiki,RU,2022-01-21 21:12:28,60.4667,166.1,-20.81,86,5,8.48
230,Asau,RO,2022-01-21 21:12:28,46.4333,26.4,28.76,56,36,7.76
231,Guarapari,BR,2022-01-21 21:03:32,-20.6667,-40.4975,80.49,81,44,6.17
232,Santa Vitoria,BR,2022-01-21 21:12:28,-18.8386,-50.1214,84.7,58,2,2.86
233,Hasaki,JP,2022-01-21 21:04:40,35.7333,140.8333,28.8,45,1,8.77
234,Nalut,LY,2022-01-21 21:04:39,30.3333,10.85,50.41,38,32,5.97
235,Asfi,MA,2022-01-21 21:12:29,32.2994,-9.2372,59.63,59,90,16.02
236,Provideniya,RU,2022-01-21 21:12:29,64.3833,-173.3,4.23,96,100,15.17
237,Genoa,IT,2022-01-21 21:12:30,44.4129,8.9573,46.47,61,0,4.0
238,Gamba,GA,2022-01-21 21:04:44,-2.65,10.0,77.04,90,99,8.1
239,Wiwili,NI,2022-01-21 21:12:30,13.6268,-85.8254,85.98,47,40,11.03
240,Czarnkow,PL,2022-01-21 21:12:30,52.9021,16.5641,34.56,93,92,13.71
241,Fortuna,US,2022-01-21 21:12:30,40.5982,-124.1573,58.93,76,0,1.99
242,Xinglongshan,CN,2022-01-21 21:12:31,43.9561,125.4661,2.16,81,100,3.71
243,Japura,ID,2022-01-21 21:12:31,-0.3167,102.35,72.88,97,100,0.74
244,Soyo,AO,2022-01-21 21:12:31,-6.1349,12.3689,77.76,79,88,9.8
245,Santa Isabel Do Rio Negro,BR,2022-01-21 21:12:32,-0.4139,-65.0192,79.45,94,100,1.1
246,Pavlodar,KZ,2022-01-21 21:12:32,52.3,76.95,-11.4,84,0,8.95
247,Nkhotakota,MW,2022-01-21 21:12:32,-12.9274,34.2961,73.38,81,72,8.63
248,Vangaindrano,MG,2022-01-21 21:12:33,-23.35,47.6,72.91,92,82,2.44
249,Torbay,CA,2022-01-21 21:03:27,47.6666,-52.7314,26.76,89,100,11.5
250,Bathsheba,BB,2022-01-21 21:12:33,13.2167,-59.5167,81.21,61,40,24.16
251,Bambous Virieux,MU,2022-01-21 21:12:33,-20.3428,57.7575,82.65,89,40,18.41
252,Kruisfontein,ZA,2022-01-21 21:12:34,-34.0033,24.7314,74.88,92,11,3.15
253,Valdivia,CL,2022-01-21 21:12:34,-39.8142,-73.2459,69.89,54,36,7.14
254,Vanavara,RU,2022-01-21 21:12:34,60.34,102.2797,-15.16,100,100,2.82
255,Egvekinot,RU,2022-01-21 21:12:34,66.3167,-179.1667,-12.66,69,4,22.28
256,Jagadhri,IN,2022-01-21 21:12:35,30.1667,77.3,52.43,71,46,6.98
257,Tastur,TN,2022-01-21 21:12:35,36.5513,9.4431,45.03,87,21,4.18
258,Biltine,TD,2022-01-21 21:07:48,14.5333,20.9167,67.87,15,0,7.05
259,Chernyanka,RU,2022-01-21 21:12:35,50.9409,37.8069,23.36,91,98,15.41
